168,16,2,1,1.1,3,3.1,94.5,168.7,64,52.6,2169,3.2,4,98,2.1,3.19,3.03,9,70,4800,29,34,8058,1
113,7,2,1,2,3,2,93.1,166.8,64.2,54.1,1950,3,4,91,2,3.08,3.15,9,68,5000,31,38,7395,1
125,9,2,1,2,3,2,96.3,172.4,65.4,51.6,2365,3,4,122,2,3.35,3.46,8.5,88,5000,25,32,6989,1
194,10,2,2,1,4,3,91.3,170.7,67.9,49.7,3139,5,6,181,5,3.43,3.27,7.8,200,5200,17,23,19699,3
128,10,2,1,2,3,2,100.4,181.7,66.5,55.1,3095,5,6,181,5,3.43,3.27,9,152,5200,17,22,13499,0
161,11,1,2,2,3,3,107.9,186.7,68.4,56.7,3252,2,4,152,3,3.7,3.52,21,95,4150,28,33,16900,0
81,3,2,1,2,3,2,94.5,158.8,63.6,52,1909,3,4,90,2,3.03,3.11,9.6,70,5400,38,43,6575,0
115,7,2,1,2,3,2,98.8,177.8,66.5,55.5,2410,3,4,122,2,3.39,3.39,8.6,84,4800,26,32,8495,0
192,2,2,1,2,3,3,101.2,176.8,64.8,54.3,2395,3,4,108,5,3.5,2.8,8.8,101,5800,23,29,16925,0
168,10,2,1,1,1,2,95.1,162.4,63.8,53.3,2008,3,4,97,2,3.15,3.29,9.4,69,5200,31,37,8249,2
94,17,2,1,2,3,2,97.3,171.7,65.5,55.7,2275,3,4,109,5,3.19,3.4,9,85,5250,27,34,8495,2
110,4,2,1,2,2,2,103.3,174.6,64.6,59.8,2535,3,4,122,2,3.34,3.46,8.5,88,5000,24,30,8921,4
161,11,2,2,2,3,3,108,186.7,68.3,56,3130,2,4,134,5,3.61,3.21,7,142,5600,18,24,18150,0
125,9,2,2,2,3,2,96.3,172.4,65.4,51.6,2403,3,4,110,6,3.17,3.46,7.5,116,5500,23,30,9279,1
128,10,2,1,1,3,2,94.5,165.3,63.8,54.5,1889,3,4,97,2,3.15,3.29,9.4,69,5200,31,37,5499,1
103,10,2,1,2,2,2,94.5,170.2,63.8,53.5,2037,3,4,97,2,3.15,3.29,9.4,69,5200,31,37,7999,1
89,15,2,1,2,2,2,97,173.5,65.4,53,2455,4,4,108,5,3.62,2.64,9,94,5200,25,31,10198,0
161,11,2,1,2,3,3,107.9,186.7,68.4,56.7,3075,2,4,120,5,3.46,3.19,8.4,97,5000,19,24,16630,0
145,6,2,1,2,3,3,113,199.6,69.6,52.8,4066,1,6,258,5,3.63,4.17,8.1,176,4750,15,19,32250,0
